No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件
641,売地,磐田市見付地脇町1368-1外,950,950,東海道本線/バス停,所有権,60,-,19.3,150,165.15,49,2023/3/23,2023/4/20,-,-,建築条件付
644,売地,磐田市向笠西589-2、587-41、590-1、719-10,472,472,東海道本線/バス停,所有権,50,無指定,5.3,80,300.52,89,2025/1/14,2025/1/20,-,-,相談
643,売地,磐田市向笠竹之内1158-4,1300,800,東海道本線,所有権,50,-,7.9,80,555.01,165,2024/5/9,2024/6/16,-,-,更地渡し
658,売地,磐田市高木1-42,980,980,東海道本線,所有権,60,１種住居,15.8,200,208.18,62,2024/11/19,2024/12/25,-,-,更地渡し
655,売地,磐田市合代島844-9,968,868,天竜浜名湖鉄道,所有権,50,無指定,7.6,80,428.01,127,2023/11/2,2023/11/11,-,-,更地渡し
615,売地,磐田市国府台48-4,1800,1800,東海道本線/バス停,所有権,60,-,18.6,150,324.64,97,2024/3/15,2024/3/29,-,-,更地渡し
616,売地,磐田市国府台94-7,1870,1870,東海道本線/バス停,所有権,60,-,18.3,150,343.59,102,2024/3/6,2024/4/29,-,-,現況渡し
680,売地,磐田市三家195-1,900,850,天竜浜名湖鉄道,所有権,50,無指定,11.6,80,260.85,78,2023/10/1,-,-,-,現況渡し
621,売地,磐田市寺谷新田57-2,750,700,東海道本線/バス停,所有権,50,-,7.6,80,332.08,99,2024/10/15,2024/11/2,-,-,建築条件付
620,売地,磐田市寺谷新田57-4,750,700,東海道本線/バス停/バス停,所有権,50,-,7.6,80,332.08,99,2025/2/16,2025/3/2,-,-,建築条件付
648,売地,磐田市上神増1944番1,980,930,天竜浜名湖鉄道/バス停,所有権,50,-,10.6,80,309,92,2024/6/27,2024/8/19,-,-,更地渡し
612,売地,磐田市上大之郷32-1①,1250,1250,東海道本線/バス停,所有権,60,１種住居,21.0,200,200,60,2023/12/22,2024/3/10,-,-,相談
611,売地,磐田市上大之郷32-1②,1090,1090,東海道本線,所有権,60,１種住居,18.3,200,200,60,2024/3/29,2024/6/3,-,-,相談
613,売地,磐田市上大之郷405,3300,3300,東海道本線/バス停,所有権,60,無指定,15.2,200,728,217,2024/4/30,2024/5/27,-,-,相談
649,売地,磐田市上野部１３１７－１,400,400,バス停/バス停,所有権,50,無指定,2.7,80,493.47,147,2023/4/12,2023/6/13,-,-,更地渡し
652,売地,磐田市上野部１４０４－１,1080,15,天竜浜名湖鉄道/バス停,所有権,50,無指定,10.3,80,352.08,105,2024/10/25,2024/12/17,-,-,現況渡し
651,売地,磐田市上野部1404番1,1080,1080,天竜浜名湖鉄道,所有権,50,無指定,10.3,80,352.08,105,2024/12/5,2024/12/22,-,-,現況渡し
650,売地,磐田市上野部1404番5外3筆,1000,1000,天竜浜名湖鉄道,所有権,50,無指定,7.3,80,462.88,138,2024/2/1,2024/2/17,-,-,現況渡し
682,売地,磐田市森本1011-5,1356,1356,東海道本線/バス停,所有権,60,無指定,15.2,200,298.94,89,2023/10/24,2023/11/20,-,-,更地渡し
681,売地,磐田市森本754No,1098,1098,東海道本線,所有権,50,無指定,17.1,80,216.04,64,2024/11/22,2025/1/18,-,-,建築条件付
629,売地,磐田市西貝塚3567-11,1200,1150,東海道本線,所有権,50,１種低層,20.1,80,200.76,60,2024/3/1,2024/3/11,-,-,更地渡し
630,売地,磐田市西貝塚459,10000,10000,東海道本線,所有権,60,工業地域,34.1,200,986,294,2023/11/29,2023/11/29,-,-,現況渡し
654,売地,磐田市川袋,590,550,バス停,所有権,60,無指定,6.9,200,286.75,85,2024/5/20,2024/6/8,-,-,相談
614,売地,磐田市草崎22-2他,900,800,東海道本線,所有権,50,-,8.2,80,367.52,109,2024/4/5,2024/5/9,-,-,更地渡し
607,売地,磐田市大久保269-17,980,980,-,所有権,30,-,10.5,50,314,94,2024/12/11,2025/1/3,-,-,更地渡し
606,売地,磐田市大久保887-1381,500,250,東海道本線,所有権,60,-,2.0,200,831,247,2025/3/5,2025/4/16,-,-,現況渡し
646,売地,磐田市大中瀬,150,100,-,所有権,60,-,2.2,200,231.52,69,2025/3/21,2025/4/12,-,-,現況渡し
625,売地,磐田市中泉2496-6,672,6,東海道本線/バス停,所有権,60,１種住居,16.3,200,138.84,41,2023/7/24,2023/9/25,-,-,現況渡し
627,売地,磐田市中泉2802-10,2058,2058,東海道本線/バス停,所有権,60,２種中高,25.4,150,272.26,81,2023/12/8,2024/4/16,-,-,現況渡し
626,売地,磐田市中泉608‐4,1200,1200,東海道本線,所有権,80,商業地域,41.4,400,97.26,29,2024/5/9,2024/6/29,-,-,更地渡し
628,売地,磐田市中泉御殿2227-5,597,597,東海道本線/バス停/バス停,所有権,60,１種住居,18.8,200,106.63,32,2025/2/22,2025/4/7,-,-,更地渡し
665,売地,磐田市中田296,1490,1490,東海道本線,所有権,60,無指定,14.7,200,340.6,101,2023/4/15,2023/4/22,-,-,相談
624,売地,磐田市鳥之瀬175番2,4850,4350,東海道本線/バス停,所有権,60,準住居,17.4,200,934.15,278,2024/7/29,2024/10/8,-,-,現況渡し
623,売地,磐田市天龍278,1180,1140,東海道本線,所有権,60,-,13.6,200,291.47,87,2024/6/10,2024/8/4,-,-,更地渡し
622,売地,磐田市天龍540-7,690,690,東海道本線,所有権,60,-,30.0,200,77.32,23,2024/11/1,2025/1/10,-,-,現況渡し
632,売地,磐田市藤上原600番4,990,950,東海道本線,所有権,50,-,5.4,80,615.44,183,2025/2/10,2025/4/20,-,-,現況渡し
631,売地,磐田市藤上原830-3③,800,800,東海道本線/バス停,所有権,50,-,11.4,80,234.97,70,2023/10/24,2023/10/27,-,-,現況渡し
685,売地,磐田市二之宮浅間1-4,1980,91,東海道本線,所有権,60,２種住居,30.4,200,218.91,65,2024/2/1,2024/2/26,-,-,現況渡し
617,売地,磐田市匂坂上153番4,125,100,東海道本線,所有権,60,無指定,2.0,200,206.63,62,2024/11/29,2025/1/8,-,-,現況渡し
618,売地,磐田市匂坂新374-3,1360,1360,東海道本線,所有権,50,無指定,13.7,80,332.59,99,2023/11/16,2023/12/13,-,-,更地渡し
619,売地,磐田市匂坂中1010-3,1225,1225,東海道本線/バス停,所有権,50,無指定,10.7,80,384.37,114,2023/2/25,2023/4/14,-,-,現況渡し
667,売地,磐田市福田119-2,600,500,東海道本線,所有権,50,-,8.1,80,248.04,74,2024/7/30,2024/9/8,-,-,現況渡し
671,売地,磐田市福田1737-1,1070,823,バス停,所有権,60,１種住居,9.5,200,377.42,112,2023/1/11,2023/5/2,-,-,現況渡し
666,売地,磐田市福田4154-1,408,408,バス停,所有権,60,１種住居,8.1,200,168.57,50,2023/7/28,2023/8/23,-,-,現況渡し
672,売地,磐田市福田59-1,1300,1100,東海道本線,所有権,60,１種住居,5.3,200,823,245,2024/1/31,2024/3/15,-,-,相談
670,売地,磐田市福田671-1,800,800,東海道本線,所有権,60,１種住居,6.0,200,447.89,133,2024/1/31,2024/3/7,-,-,現況渡し
668,売地,磐田市福田字本田西５８４－１,670,670,東海道本線/バス停/バス停,所有権,60,１種住居,4.1,200,553.86,165,2024/2/20,2024/4/10,-,-,現況渡し
669,売地,磐田市福田字本田西584-1,670,670,東海道本線/バス停,所有権,60,１種住居,4.1,200,553.86,165,2024/1/18,2024/4/10,-,-,現況渡し
673,売地,磐田市福田中島1595他4筆,400,350,東海道本線,所有権,60,１種住居,6.1,200,220,66,2023/10/14,2024/1/9,-,-,相談
675,売地,磐田市福田中島1604-2,1060,750,東海道本線,所有権,60,１種住居,14.1,200,253,75,2024/1/31,2024/3/15,-,-,現況渡し
676,売地,磐田市福田中島216番他第3画地,1090,1090,東海道本線/バス停/バス停,所有権,60,１種住居,17.9,200,205,61,2024/5/13,2024/5/31,-,-,更地渡し
677,売地,磐田市福田中島808-1,1200,1200,バス停,所有権,60,１種住居,5.1,200,793.21,236,2024/5/7,2024/5/28,-,-,更地渡し
674,売地,磐田市福田中島887,1,600,東海道本線,所有権,60,１種住居,0.0,200,250.94,75,2023/3/15,2023/4/3,-,-,現況渡し
660,売地,磐田市豊岡,680,470,バス停/バス停,所有権,50,１種低層,11.4,80,200.03,60,2024/8/26,2024/9/17,-,-,更地渡し
661,売地,磐田市豊岡,1080,1030,東海道本線,所有権,-,-,5.8,-,630.26,188,2024/11/12,2024/11/27,-,-,現況渡し
659,売地,磐田市豊岡4474-6他,580,580,東海道本線,所有権,60,-,9.3,150,208.76,62,2025/1/13,2025/3/7,-,-,建築条件付
662,売地,磐田市豊岡金洗5906-4,850,850,東海道本線,所有権,60,１種住居,22.3,200,128.03,38,2024/11/7,2024/11/29,-,-,現況渡し
663,売地,磐田市豊田10-3,1050,1050,東海道本線/バス停,所有権,50,無指定,19.4,80,181.63,54,2023/6/19,2023/9/10,-,-,更地渡し
664,売地,磐田市豊田185-5,1150,1100,東海道本線,所有権,50,-,14.8,80,261.69,78,2024/9/29,-,-,-,現況渡し
679,売地,磐田市堀之内,860,760,バス停,所有権,60,１種住居,13.4,200,215.08,64,2023/10/27,2023/10/31,-,-,更地渡し
678,売地,磐田市堀之内1638-60,830,830,東海道本線,所有権,50,１種低層,13.5,80,207,62,2024/5/9,2024/7/2,-,-,現況渡し
642,売地,磐田市明ケ島1121番9,1340,1300,東海道本線,所有権,50,無指定,24.4,80,184.69,55,2023/7/3,2023/7/19,-,-,更地渡し
684,売地,磐田市明ケ島原34-6,2230,2230,東海道本線/バス停/バス停,所有権,50,１種低層,32.4,80,231.4,69,2024/7/29,2024/8/5,-,-,現況渡し
683,売地,磐田市竜洋中島1121-241,498,498,東海道本線,所有権,60,１種低層,9.3,200,180.58,54,2024/2/25,2024/2/29,-,-,相談
259,売地,浜松市中央区安松町,1460,1400,バス停,所有権,60,２種中高,30.3,200,162.02,48,2025/1/28,2025/3/23,-,-,更地渡し
263,売地,浜松市中央区安松町,1930,1800,バス停,所有権,60,２種中高,30.1,200,215.27,64,2024/6/7,2024/6/18,-,-,更地渡し
261,売地,浜松市中央区安松町,1590,1590,バス停,所有権,60,２種中高,29.6,200,180.4,54,2024/11/15,2025/1/13,-,-,更地渡し
258,売地,浜松市中央区安松町,1400,1350,バス停,所有権,60,２種中高,28.5,200,165,49,2023/11/25,2023/12/23,-,-,現況渡し
257,売地,浜松市中央区安松町,680,400,バス停,所有権,60,２種中高,27.8,200,82.13,24,2025/2/13,2025/4/26,-,-,更地渡し
262,売地,浜松市中央区安松町,1780,1780,バス停,所有権,60,２種中高,27.7,200,215.73,64,2023/9/23,2023/11/4,-,-,相談
260,売地,浜松市中央区安松町22-2,1536,1536,バス停,所有権,60,２種中高,29.8,200,173.29,52,2023/10/31,2023/12/12,-,-,更地渡し
264,売地,浜松市中央区安松町22番2,2780,2530,ＪＲ東海道新幹線/バス停/バス停,所有権,60,２種中高,27.2,200,343.45,102,2023/6/5,2023/7/3,-,-,更地渡し
323,売地,浜松市中央区瓜内町,2130,2000,東海道本線,所有権,60,１種住居,20.3,200,352,105,2023/3/20,2023/4/18,-,-,相談
321,売地,浜松市中央区瓜内町,1290,1190,バス停,所有権,60,１種住居,18.8,200,230,68,2025/2/13,2025/2/22,-,-,更地渡し
317,売地,浜松市中央区瓜内町,390,350,バス停,所有権,60,無指定,13.2,200,99.13,30,2023/10/25,2024/1/23,-,-,更地渡し
319,売地,浜松市中央区瓜内町,790,950,バス停,所有権,60,無指定,10.4,200,256,76,2023/9/19,2023/11/28,-,-,現況渡し
320,売地,浜松市中央区瓜内町,69,69,バス停,所有権,60,１種住居,1.3,200,172,51,2023/10/14,2023/10/28,-,-,現況渡し
318,売地,浜松市中央区瓜内町601,398,300,東海道本線/バス停/バス停,所有権,60,無指定,6.1,200,217.9,65,2023/5/16,2023/7/10,-,-,相談
322,売地,浜松市中央区瓜内町793-4,32,1300,ＪＲ東海道新幹線,所有権,60,無指定,0.5,200,208,62,2024/9/22,2024/10/5,-,-,更地渡し
86,売地,浜松市中央区曳馬３丁目B区画,2365,2365,遠州鉄道,所有権,60,１種住居,43.7,160,181.82,54,2023/10/4,2023/12/4,-,-,現況渡し
87,売地,浜松市中央区曳馬４丁目1190-2・1190-3,8,8,遠州鉄道,所有権,70,１種住居,0.1,200,185.53,55,2024/8/25,2024/11/29,-,-,相談
88,売地,浜松市中央区曳馬６丁目,1630,1630,遠州鉄道/バス停,所有権,60,-,37.6,200,145.73,43,2024/8/4,2024/8/16,-,-,現況渡し
89,売地,浜松市中央区曳馬６丁目,1800,1800,遠州鉄道,所有権,60,-,31.0,200,194.83,58,2024/4/6,2024/4/22,-,-,現況渡し
342,売地,浜松市中央区恩地町,1680,1680,バス停,所有権,60,工業地域,29.9,200,188.55,56,2023/12/25,2024/1/14,-,-,相談
343,売地,浜松市中央区恩地町,1890,1800,バス停,所有権,60,工業地域,22.1,200,286.81,85,2024/4/19,2024/5/9,-,-,更地渡し
341,売地,浜松市中央区恩地町257-3,1400,0,バス停,所有権,60,工業地域,26.4,200,178.02,53,2024/5/30,2024/6/3,-,-,更地渡し
172,売地,浜松市中央区下江町537-8,80,75,バス停/バス停,所有権,60,無指定,6.2,200,43.66,13,2024/7/22,2024/8/24,-,-,相談
171,売地,浜松市中央区下石田町,1630,1630,東海道本線,所有権,60,１種住居,27.3,200,200.16,60,2025/2/3,2025/2/25,-,-,更地渡し
170,売地,浜松市中央区下石田町73番の一部,550,500,バス停,所有権,60,-,5.4,200,344,102,2024/6/18,2024/9/10,-,-,現況渡し
169,売地,浜松市中央区下池川町1番11外,72,72,バス停,所有権,80,近隣商業,0.6,300,415.42,124,2023/12/1,-,-,-,更地渡し
168,売地,浜松市中央区下池川町235-3,3850,3650,遠州鉄道,所有権,60,２種住居,19.2,200,675,201,2024/10/18,2025/1/16,-,-,相談
167,売地,浜松市中央区下飯田町189番、208番2,76,76,バス停/バス停,所有権,60,-,1.3,200,202.19,60,2024/11/1,2024/11/18,-,-,現況渡し
82,売地,浜松市中央区花川町,1340,1340,バス停,所有権,70,無指定,17.9,200,251.37,75,2025/4/10,2025/4/27,-,-,更地渡し
344,売地,浜松市中央区笠井上町584番142号地,1380,1350,遠州鉄道,所有権,60,１種住居,25.0,200,185.61,55,2024/8/1,2024/9/8,-,-,更地渡し
347,売地,浜松市中央区笠井新田町,980,960,遠州鉄道/バス停,所有権,60,無指定,9.6,200,342,102,2024/6/6,2024/8/8,-,-,現況渡し
348,売地,浜松市中央区笠井新田町1307-1,1490,1490,バス停/バス停,所有権,60,無指定,22.7,200,220,66,2024/2/3,2024/3/10,-,-,相談
351,売地,浜松市中央区笠井新田町1533,626.5,626.5,遠州鉄道,所有権,60,-,29.6,200,71.18,21,2024/11/20,2024/12/12,-,-,建築条件付
346,売地,浜松市中央区笠井新田町757-1,750,720,遠州鉄道,所有権,60,無指定,9.3,200,271.23,81,2024/10/1,2024/10/20,-,-,現況渡し
350,売地,浜松市中央区笠井新田町759-4、758,1795,1795,遠州鉄道,所有権,60,無指定,25.4,200,237.43,71,2024/11/1,2024/11/30,-,-,現況渡し
345,売地,浜松市中央区笠井新田町799‐1他2筆笠井新田町B,469,469,遠州鉄道,所有権,60,無指定,5.3,200,295.77,88,2023/12/6,2024/1/8,-,-,更地渡し
349,売地,浜松市中央区笠井新田町字川原９５３－１外,1680,0,バス停,所有権,60,無指定,16.3,200,347.12,103,2024/2/26,2024/3/14,-,-,現況渡し
355,売地,浜松市中央区笠井町1322,48,48,バス停,所有権,70,１種住居,1.0,200,165,49,2025/4/18,2025/4/21,-,-,更地渡し
354,売地,浜松市中央区笠井町313,980,980,バス停,所有権,60,１種住居,13.7,200,239.82,71,2025/4/7,2025/4/17,-,-,現況渡し
353,売地,浜松市中央区笠井町363番7,747,747,遠州鉄道,所有権,60,１種住居,24.9,200,100.8,30,2023/12/1,-,-,-,現況渡し
357,売地,浜松市中央区笠井町62-1,5200,5200,バス停,所有権,60,１種住居,22.3,200,783.18,233,2024/4/23,2024/5/30,-,-,現況渡し
356,売地,浜松市中央区笠井町62番１,5200,5100,バス停/バス停,所有権,60,１種住居,22.3,200,783.18,233,2024/4/22,2024/6/20,-,-,更地渡し
352,売地,浜松市中央区笠井町63-1,290,290,遠州鉄道,所有権,60,１種住居,10.9,172,89,27,2023/3/29,2023/4/27,-,-,現況渡し
386,売地,浜松市中央区鴨江２丁目54-10,2100,2050,遠州鉄道,所有権,60,-,37.1,200,190.03,57,2024/12/10,2025/2/14,-,-,更地渡し
385,売地,浜松市中央区鴨江２丁目9-17,1560,1560,東海道本線/バス停/バス停,所有権,70,-,39.0,200,134.17,40,2024/5/14,2024/6/4,-,-,現況渡し
387,売地,浜松市中央区鴨江３丁目463-27他,580,60,遠州鉄道/バス停,所有権,60,-,6.7,200,290.89,87,2024/10/25,-,-,-,更地渡し
388,売地,浜松市中央区鴨江４丁目34-37区画3,980,950,東海道本線/バス停,所有権,60,-,19.9,200,165.3,49,2023/10/30,2024/2/3,-,-,現況渡し
389,売地,浜松市中央区舘山寺町244-9,669,669,バス停/バス停,所有権,-,無指定,12.2,-,184.05,55,2024/9/19,2024/10/5,-,-,相談
390,売地,浜松市中央区舘山寺町244-9,669,640,バス停/バス停,所有権,-,無指定,12.2,-,184.05,55,2023/8/4,2023/9/24,-,-,相談
391,売地,浜松市中央区舘山寺町2669-1、2,5,5,バス停,所有権,60,１種住居,0.0,200,357.73,107,2024/11/13,2024/12/2,-,-,現況渡し
228,売地,浜松市中央区丸塚町,1980,1980,バス停,所有権,60,１種住居,33.5,200,198.36,59,2024/3/18,2024/3/27,-,-,更地渡し
363,売地,浜松市中央区金折町,950,750,バス停,所有権,60,無指定,19.3,200,165,49,2024/7/6,2024/7/26,-,-,更地渡し
362,売地,浜松市中央区金折町,830,800,バス停,所有権,60,無指定,15.0,200,186.12,55,2023/4/17,2023/5/20,-,-,相談
361,売地,浜松市中央区金折町353-1,656,0,バス停,所有権,60,無指定,7.1,200,310,92,2023/7/9,2023/7/12,-,-,現況渡し
360,売地,浜松市中央区金折町677②区画,506,0,バス停,所有権,60,無指定,7.1,200,239,71,2024/5/17,2024/6/29,-,-,現況渡し
256,売地,浜松市中央区元浜町３３－３４,1700,1700,遠州鉄道/バス停,所有権,80,商業地域,52.5,500,108.67,32,2023/10/5,2023/12/28,-,-,相談
83,売地,浜松市中央区原島町320,1750,1750,東海道本線,所有権,60,１種住居,35.8,200,164,49,2023/8/4,2023/8/28,-,-,現況渡し
113,売地,浜松市中央区湖東町1484-171,1450,1450,バス停,所有権,60,無指定,18.3,200,266.42,79,2024/3/3,2024/3/17,-,-,現況渡し
112,売地,浜松市中央区湖東町2913,960,960,遠州鉄道/バス停,所有権,60,-,8.1,200,396.85,118,2024/3/25,2024/4/22,-,-,更地渡し
111,売地,浜松市中央区湖東町2913Ｂ,940,940,ＪＲ東海道新幹線/バス停,所有権,60,-,6.6,200,474.76,141,2024/5/13,2024/6/25,-,-,更地渡し
109,売地,浜松市中央区湖東町3433番2外1筆,679,679,バス停,所有権,60,無指定,5.1,200,449,134,2023/7/19,2023/9/27,-,-,現況渡し
110,売地,浜松市中央区湖東町5746-5,67,750,バス停,所有権,60,-,0.6,200,406,121,2024/2/5,2024/2/26,-,-,現況渡し
101,売地,浜松市中央区御給町,1480,1480,バス停,所有権,60,無指定,16.3,200,304,91,2024/3/1,2024/3/31,-,-,相談
253,売地,浜松市中央区向宿２丁目15番13号,1580,1580,東海道本線,所有権,60,１種住居,30.1,200,176.3,53,2023/4/1,2023/4/22,-,-,現況渡し
254,売地,浜松市中央区向宿３丁目719-3,1830,4,ＪＲ東海道新幹線,所有権,70,１種住居,37.0,200,166.1,49,2023/11/21,2023/12/25,-,-,更地渡し
114,売地,浜松市中央区幸２丁目39-4,3153,3153,東海道本線/バス停,所有権,40,１種低層,30.8,60,343.98,102,2023/7/22,2023/7/30,-,-,更地渡し
115,売地,浜松市中央区幸３丁目18-3,3300,3300,遠州鉄道/バス停,所有権,60,-,31.9,200,347.6,104,2024/3/9,2024/3/15,-,-,更地渡し
122,売地,浜松市中央区幸４丁目33-40,4950,0,遠州鉄道/バス停,所有権,30,１種低層,33.5,60,495.88,148,2024/2/28,2024/4/1,-,-,更地渡し
121,売地,浜松市中央区幸４丁目518-70,2800,64,遠州鉄道/バス停,所有権,30,１種低層,40.3,60,233.55,70,2024/11/20,2024/12/24,-,-,現況渡し
120,売地,浜松市中央区幸４丁目９－５ＮＯ．１,2058,7,バス停,所有権,60,-,42.7,150,161.74,48,2024/7/19,2024/8/19,-,-,更地渡し
119,売地,浜松市中央区幸４丁目９－５ＮＯ．１１,1996,78,バス停,所有権,60,-,43.5,150,154.24,46,2024/7/19,2024/8/19,-,-,更地渡し
117,売地,浜松市中央区幸４丁目９－５ＮＯ．２,1954,38,バス停,所有権,60,-,42.0,150,156.11,46,2024/7/19,2024/8/19,-,-,更地渡し
116,売地,浜松市中央区幸４丁目９－５ＮＯ．３,1952,51,バス停/バス停,所有権,60,-,42.2,150,155.47,46,2024/7/19,2024/8/19,-,-,更地渡し
