No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件,latitude,longitude
640,売地,磐田市見付河原町3768番3,780.0,800.0,東海道本線,所有権,50,１種低層,15.5,80,168.72,50,2024/7/1,2024/7/13,-,-,建築条件付,34.7263215,137.8515769
641,売地,磐田市見付地脇町1368-1外,950.0,950.0,東海道本線/バス停,所有権,60,-,19.3,150,165.15,49,2023/3/23,2023/4/20,-,-,建築条件付,34.7279258,137.859914
644,売地,磐田市向笠西589-2、587-41、590-1、719-10,472.0,472.0,東海道本線/バス停,所有権,50,無指定,5.3,80,300.52,89,2025/1/14,2025/1/20,-,-,相談,34.7550558,137.8711395
643,売地,磐田市向笠竹之内1158-4,1300.0,800.0,東海道本線,所有権,50,-,7.9,80,555.01,165,2024/5/9,2024/6/16,-,-,更地渡し,34.7670274,137.8693538
658,売地,磐田市高木1-42,980.0,980.0,東海道本線,所有権,60,１種住居,15.8,200,208.18,62,2024/11/19,2024/12/25,-,-,更地渡し,34.6981427,137.8075561
655,売地,磐田市合代島844-9,968.0,868.0,天竜浜名湖鉄道,所有権,50,無指定,7.6,80,428.01,127,2023/11/2,2023/11/11,-,-,更地渡し,34.8308423,137.8430491
615,売地,磐田市国府台48-4,1800.0,1800.0,東海道本線/バス停,所有権,60,-,18.6,150,324.64,97,2024/3/15,2024/3/29,-,-,更地渡し,34.7232998,137.8509767
616,売地,磐田市国府台94-7,1870.0,1870.0,東海道本線/バス停,所有権,60,-,18.3,150,343.59,102,2024/3/6,2024/4/29,-,-,現況渡し,34.7218149,137.8464345
680,売地,磐田市三家195-1,900.0,850.0,天竜浜名湖鉄道,所有権,50,無指定,11.6,80,260.85,78,2023/10/1,-,-,-,現況渡し,34.8137004,137.8318681
621,売地,磐田市寺谷新田57-2,750.0,700.0,東海道本線/バス停,所有権,50,-,7.6,80,332.08,99,2024/10/15,2024/11/2,-,-,建築条件付,34.7878422,137.8372696
620,売地,磐田市寺谷新田57-4,750.0,700.0,東海道本線/バス停/バス停,所有権,50,-,7.6,80,332.08,99,2025/2/16,2025/3/2,-,-,建築条件付,34.7878422,137.8372696
648,売地,磐田市上神増1944番1,980.0,930.0,天竜浜名湖鉄道/バス停,所有権,50,-,10.6,80,309.0,92,2024/6/27,2024/8/19,-,-,更地渡し,34.8225815,137.8451996
612,売地,磐田市上大之郷32-1①,1250.0,1250.0,東海道本線/バス停,所有権,60,１種住居,21.0,200,200.0,60,2023/12/22,2024/3/10,-,-,相談,34.6927569,137.8544624
611,売地,磐田市上大之郷32-1②,1090.0,1090.0,東海道本線,所有権,60,１種住居,18.3,200,200.0,60,2024/3/29,2024/6/3,-,-,相談,34.6927569,137.8544624
613,売地,磐田市上大之郷405,3300.0,3300.0,東海道本線/バス停,所有権,60,無指定,15.2,200,728.0,217,2024/4/30,2024/5/27,-,-,相談,34.6884699,137.8533982
649,売地,磐田市上野部１３１７－１,400.0,400.0,バス停/バス停,所有権,50,無指定,2.7,80,493.47,147,2023/4/12,2023/6/13,-,-,更地渡し,34.8490056,137.8377905
652,売地,磐田市上野部１４０４－１,1080.0,15.0,天竜浜名湖鉄道/バス停,所有権,50,無指定,10.3,80,352.08,105,2024/10/25,2024/12/17,-,-,現況渡し,34.8423008,137.8346336
651,売地,磐田市上野部1404番1,1080.0,1080.0,天竜浜名湖鉄道,所有権,50,無指定,10.3,80,352.08,105,2024/12/5,2024/12/22,-,-,現況渡し,34.8423008,137.8346336
650,売地,磐田市上野部1404番5外3筆,1000.0,1000.0,天竜浜名湖鉄道,所有権,50,無指定,7.3,80,462.88,138,2024/2/1,2024/2/17,-,-,現況渡し,34.8423008,137.8346336
682,売地,磐田市森本1011-5,1356.0,1356.0,東海道本線/バス停,所有権,60,無指定,15.2,200,298.94,89,2023/10/24,2023/11/20,-,-,更地渡し,34.7108087,137.8124152
681,売地,磐田市森本754No,1098.0,1098.0,東海道本線,所有権,50,無指定,17.1,80,216.04,64,2024/11/22,2025/1/18,-,-,建築条件付,34.7147846,137.8056964
629,売地,磐田市西貝塚3567-11,1200.0,1150.0,東海道本線,所有権,50,１種低層,20.1,80,200.76,60,2024/3/1,2024/3/11,-,-,更地渡し,34.7303174,137.873457
630,売地,磐田市西貝塚459,10000.0,10000.0,東海道本線,所有権,60,工業地域,34.1,200,986.0,294,2023/11/29,2023/11/29,-,-,現況渡し,34.710806,137.8658053
654,売地,磐田市川袋,590.0,550.0,バス停,所有権,60,無指定,6.9,200,286.75,85,2024/5/20,2024/6/8,-,-,相談,34.7179085,137.8515047
614,売地,磐田市草崎22-2他,900.0,800.0,東海道本線,所有権,50,-,8.2,80,367.52,109,2024/4/5,2024/5/9,-,-,更地渡し,34.6938275,137.8227633
607,売地,磐田市大久保269-17,980.0,980.0,-,所有権,30,-,10.5,50,314.0,94,2024/12/11,2025/1/3,-,-,更地渡し,34.7756528,137.8469073
606,売地,磐田市大久保887-1381,500.0,250.0,東海道本線,所有権,60,-,2.0,200,831.0,247,2025/3/5,2025/4/16,-,-,現況渡し,34.7627486,137.8568652
646,売地,磐田市大中瀬,150.0,100.0,-,所有権,60,-,2.2,200,231.52,69,2025/3/21,2025/4/12,-,-,現況渡し,34.6697928,137.8365558
625,売地,磐田市中泉2496-6,672.0,6.0,東海道本線/バス停,所有権,60,１種住居,16.3,200,138.84,41,2023/7/24,2023/9/25,-,-,現況渡し,34.7134493,137.8470019
627,売地,磐田市中泉2802-10,2058.0,2058.0,東海道本線/バス停,所有権,60,２種中高,25.4,150,272.26,81,2023/12/8,2024/4/16,-,-,現況渡し,34.7160222,137.8421945
626,売地,磐田市中泉608‐4,1200.0,1200.0,東海道本線,所有権,80,商業地域,41.4,400,97.26,29,2024/5/9,2024/6/29,-,-,更地渡し,34.71170550000001,137.8510948
628,売地,磐田市中泉御殿2227-5,597.0,597.0,東海道本線/バス停/バス停,所有権,60,１種住居,18.8,200,106.63,32,2025/2/22,2025/4/7,-,-,更地渡し,34.7087489,137.8498665
665,売地,磐田市中田296,1490.0,1490.0,東海道本線,所有権,60,無指定,14.7,200,340.6,101,2023/4/15,2023/4/22,-,-,相談,34.711402,137.8286714
624,売地,磐田市鳥之瀬175番2,4850.0,4350.0,東海道本線/バス停,所有権,60,準住居,17.4,200,934.15,278,2024/7/29,2024/10/8,-,-,現況渡し,34.7129485,137.8605924
623,売地,磐田市天龍278,1180.0,1140.0,東海道本線,所有権,60,-,13.6,200,291.47,87,2024/6/10,2024/8/4,-,-,更地渡し,34.70776470000001,137.8436366
622,売地,磐田市天龍540-7,690.0,690.0,東海道本線,所有権,60,-,30.0,200,77.32,23,2024/11/1,2025/1/10,-,-,現況渡し,34.7056299,137.8438242
632,売地,磐田市藤上原600番4,990.0,950.0,東海道本線,所有権,50,-,5.4,80,615.44,183,2025/2/10,2025/4/20,-,-,現況渡し,34.7887811,137.8544045
631,売地,磐田市藤上原830-3③,800.0,800.0,東海道本線/バス停,所有権,50,-,11.4,80,234.97,70,2023/10/24,2023/10/27,-,-,現況渡し,34.7882704,137.8501395
685,売地,磐田市二之宮浅間1-4,1980.0,91.0,東海道本線,所有権,60,２種住居,30.4,200,218.91,65,2024/2/1,2024/2/26,-,-,現況渡し,34.7120337,137.8570016
617,売地,磐田市匂坂上153番4,125.0,100.0,東海道本線,所有権,60,無指定,2.0,200,206.63,62,2024/11/29,2025/1/8,-,-,現況渡し,34.7734446,137.8337584
618,売地,磐田市匂坂新374-3,1360.0,1360.0,東海道本線,所有権,50,無指定,13.7,80,332.59,99,2023/11/16,2023/12/13,-,-,更地渡し,34.7568913,137.8386133
619,売地,磐田市匂坂中1010-3,1225.0,1225.0,東海道本線/バス停,所有権,50,無指定,10.7,80,384.37,114,2023/2/25,2023/4/14,-,-,現況渡し,34.7651065,137.8302967
667,売地,磐田市福田119-2,600.0,500.0,東海道本線,所有権,50,-,8.1,80,248.04,74,2024/7/30,2024/9/8,-,-,現況渡し,34.6826266,137.8858252
671,売地,磐田市福田1737-1,1070.0,823.0,バス停,所有権,60,１種住居,9.5,200,377.42,112,2023/1/11,2023/5/2,-,-,現況渡し,34.6693172,137.8850309
666,売地,磐田市福田4154-1,408.0,408.0,バス停,所有権,60,１種住居,8.1,200,168.57,50,2023/7/28,2023/8/23,-,-,現況渡し,34.6693172,137.8850309
672,売地,磐田市福田59-1,1300.0,1100.0,東海道本線,所有権,60,１種住居,5.3,200,823.0,245,2024/1/31,2024/3/15,-,-,相談,34.6693172,137.8850309
670,売地,磐田市福田671-1,800.0,800.0,東海道本線,所有権,60,１種住居,6.0,200,447.89,133,2024/1/31,2024/3/7,-,-,現況渡し,34.6802256,137.8784495
668,売地,磐田市福田字本田西５８４－１,670.0,670.0,東海道本線/バス停/バス停,所有権,60,１種住居,4.1,200,553.86,165,2024/2/20,2024/4/10,-,-,現況渡し,34.6693172,137.8850309
669,売地,磐田市福田字本田西584-1,670.0,670.0,東海道本線/バス停,所有権,60,１種住居,4.1,200,553.86,165,2024/1/18,2024/4/10,-,-,現況渡し,34.6693172,137.8850309
673,売地,磐田市福田中島1595他4筆,400.0,350.0,東海道本線,所有権,60,１種住居,6.1,200,220.0,66,2023/10/14,2024/1/9,-,-,相談,34.6736592,137.8699039
675,売地,磐田市福田中島1604-2,1060.0,750.0,東海道本線,所有権,60,１種住居,14.1,200,253.0,75,2024/1/31,2024/3/15,-,-,現況渡し,34.6747768,137.8742076
676,売地,磐田市福田中島216番他第3画地,1090.0,1090.0,東海道本線/バス停/バス停,所有権,60,１種住居,17.9,200,205.0,61,2024/5/13,2024/5/31,-,-,更地渡し,34.6736592,137.8699039
677,売地,磐田市福田中島808-1,1200.0,1200.0,バス停,所有権,60,１種住居,5.1,200,793.21,236,2024/5/7,2024/5/28,-,-,更地渡し,34.6775127,137.8757545
674,売地,磐田市福田中島887,1.0,600.0,東海道本線,所有権,60,１種住居,0.0,200,250.94,75,2023/3/15,2023/4/3,-,-,現況渡し,34.6777766,137.8722495
660,売地,磐田市豊岡,680.0,470.0,バス停/バス停,所有権,50,１種低層,11.4,80,200.03,60,2024/8/26,2024/9/17,-,-,更地渡し,34.6857988,137.8044624
661,売地,磐田市豊岡,1080.0,1030.0,東海道本線,所有権,-,-,5.8,-,630.26,188,2024/11/12,2024/11/27,-,-,現況渡し,34.6857988,137.8044624
659,売地,磐田市豊岡4474-6他,580.0,580.0,東海道本線,所有権,60,-,9.3,150,208.76,62,2025/1/13,2025/3/7,-,-,建築条件付,34.6783358,137.814419
662,売地,磐田市豊岡金洗5906-4,850.0,850.0,東海道本線,所有権,60,１種住居,22.3,200,128.03,38,2024/11/7,2024/11/29,-,-,現況渡し,34.6721401,137.8119102
663,売地,磐田市豊田10-3,1050.0,1050.0,東海道本線/バス停,所有権,50,無指定,19.4,80,181.63,54,2023/6/19,2023/9/10,-,-,更地渡し,34.7462629,137.8351098
664,売地,磐田市豊田185-5,1150.0,1100.0,東海道本線,所有権,50,-,14.8,80,261.69,78,2024/9/29,-,-,-,現況渡し,34.7428119,137.8333139
679,売地,磐田市堀之内,860.0,760.0,バス停,所有権,60,１種住居,13.4,200,215.08,64,2023/10/27,2023/10/31,-,-,更地渡し,34.6912171,137.8118669
678,売地,磐田市堀之内1638-60,830.0,830.0,東海道本線,所有権,50,１種低層,13.5,80,207.0,62,2024/5/9,2024/7/2,-,-,現況渡し,34.688625,137.808628
642,売地,磐田市明ケ島1121番9,1340.0,1300.0,東海道本線,所有権,50,無指定,24.4,80,184.69,55,2023/7/3,2023/7/19,-,-,更地渡し,34.7290376,137.8869217
684,売地,磐田市明ケ島原34-6,2230.0,2230.0,東海道本線/バス停/バス停,所有権,50,１種低層,32.4,80,231.4,69,2024/7/29,2024/8/5,-,-,現況渡し,34.7299902,137.8850599
683,売地,磐田市竜洋中島1121-241,498.0,498.0,東海道本線,所有権,60,１種低層,9.3,200,180.58,54,2024/2/25,2024/2/29,-,-,相談,34.7050542,137.8072378
259,売地,浜松市中央区安松町,1460.0,1400.0,バス停,所有権,60,２種中高,30.3,200,162.02,48,2025/1/28,2025/3/23,-,-,更地渡し,34.6961803,137.769922
263,売地,浜松市中央区安松町,1930.0,1800.0,バス停,所有権,60,２種中高,30.1,200,215.27,64,2024/6/7,2024/6/18,-,-,更地渡し,34.6961803,137.769922
261,売地,浜松市中央区安松町,1590.0,1590.0,バス停,所有権,60,２種中高,29.6,200,180.4,54,2024/11/15,2025/1/13,-,-,更地渡し,34.6961803,137.769922
258,売地,浜松市中央区安松町,1400.0,1350.0,バス停,所有権,60,２種中高,28.5,200,165.0,49,2023/11/25,2023/12/23,-,-,現況渡し,34.6961803,137.769922
257,売地,浜松市中央区安松町,680.0,400.0,バス停,所有権,60,２種中高,27.8,200,82.13,24,2025/2/13,2025/4/26,-,-,更地渡し,34.6961803,137.769922
262,売地,浜松市中央区安松町,1780.0,1780.0,バス停,所有権,60,２種中高,27.7,200,215.73,64,2023/9/23,2023/11/4,-,-,相談,34.6961803,137.769922
260,売地,浜松市中央区安松町22-2,1536.0,1536.0,バス停,所有権,60,２種中高,29.8,200,173.29,52,2023/10/31,2023/12/12,-,-,更地渡し,34.6939701,137.7705933
264,売地,浜松市中央区安松町22番2,2780.0,2530.0,ＪＲ東海道新幹線/バス停/バス停,所有権,60,２種中高,27.2,200,343.45,102,2023/6/5,2023/7/3,-,-,更地渡し,34.6939701,137.7705933
323,売地,浜松市中央区瓜内町,2130.0,2000.0,東海道本線,所有権,60,１種住居,20.3,200,352.0,105,2023/3/20,2023/4/18,-,-,相談,34.6883365,137.7354041
321,売地,浜松市中央区瓜内町,1290.0,1190.0,バス停,所有権,60,１種住居,18.8,200,230.0,68,2025/2/13,2025/2/22,-,-,更地渡し,34.6883365,137.7354041
317,売地,浜松市中央区瓜内町,390.0,350.0,バス停,所有権,60,無指定,13.2,200,99.13,30,2023/10/25,2024/1/23,-,-,更地渡し,34.6883365,137.7354041
319,売地,浜松市中央区瓜内町,790.0,950.0,バス停,所有権,60,無指定,10.4,200,256.0,76,2023/9/19,2023/11/28,-,-,現況渡し,34.6883365,137.7354041
320,売地,浜松市中央区瓜内町,69.0,69.0,バス停,所有権,60,１種住居,1.3,200,172.0,51,2023/10/14,2023/10/28,-,-,現況渡し,34.6883365,137.7354041
318,売地,浜松市中央区瓜内町601,398.0,300.0,東海道本線/バス停/バス停,所有権,60,無指定,6.1,200,217.9,65,2023/5/16,2023/7/10,-,-,相談,34.6883365,137.7354041
322,売地,浜松市中央区瓜内町793-4,32.0,1300.0,ＪＲ東海道新幹線,所有権,60,無指定,0.5,200,208.0,62,2024/9/22,2024/10/5,-,-,更地渡し,34.6883365,137.7354041
86,売地,浜松市中央区曳馬３丁目B区画,2365.0,2365.0,遠州鉄道,所有権,60,１種住居,43.7,160,181.82,54,2023/10/4,2023/12/4,-,-,現況渡し,34.7269666,137.7446478
87,売地,浜松市中央区曳馬４丁目1190-2・1190-3,8.0,8.0,遠州鉄道,所有権,70,１種住居,0.1,200,185.53,55,2024/8/25,2024/11/29,-,-,相談,34.7304678,137.7421827
88,売地,浜松市中央区曳馬６丁目,1630.0,1630.0,遠州鉄道/バス停,所有権,60,-,37.6,200,145.73,43,2024/8/4,2024/8/16,-,-,現況渡し,34.7363317,137.7372527
89,売地,浜松市中央区曳馬６丁目,1800.0,1800.0,遠州鉄道,所有権,60,-,31.0,200,194.83,58,2024/4/6,2024/4/22,-,-,現況渡し,34.7363317,137.7372527
342,売地,浜松市中央区恩地町,1680.0,1680.0,バス停,所有権,60,工業地域,29.9,200,188.55,56,2023/12/25,2024/1/14,-,-,相談,34.6874367,137.7600575
343,売地,浜松市中央区恩地町,1890.0,1800.0,バス停,所有権,60,工業地域,22.1,200,286.81,85,2024/4/19,2024/5/9,-,-,更地渡し,34.6874367,137.7600575
341,売地,浜松市中央区恩地町257-3,1400.0,0.0,バス停,所有権,60,工業地域,26.4,200,178.02,53,2024/5/30,2024/6/3,-,-,更地渡し,34.6885494,137.7619647
172,売地,浜松市中央区下江町537-8,80.0,75.0,バス停/バス停,所有権,60,無指定,6.2,200,43.66,13,2024/7/22,2024/8/24,-,-,相談,34.6801499,137.7738259
171,売地,浜松市中央区下石田町,1630.0,1630.0,東海道本線,所有権,60,１種住居,27.3,200,200.16,60,2025/2/3,2025/2/25,-,-,更地渡し,34.7388826,137.7847223
170,売地,浜松市中央区下石田町73番の一部,550.0,500.0,バス停,所有権,60,-,5.4,200,344.0,102,2024/6/18,2024/9/10,-,-,現況渡し,34.7567925,137.7885235
169,売地,浜松市中央区下池川町1番11外,72.0,72.0,バス停,所有権,80,近隣商業,0.6,300,415.42,124,2023/12/1,-,-,-,更地渡し,34.71415560000001,137.7258156
168,売地,浜松市中央区下池川町235-3,3850.0,3650.0,遠州鉄道,所有権,60,２種住居,19.2,200,675.0,201,2024/10/18,2025/1/16,-,-,相談,34.7173511,137.7273943
167,売地,浜松市中央区下飯田町189番、208番2,76.0,76.0,バス停/バス停,所有権,60,-,1.3,200,202.19,60,2024/11/1,2024/11/18,-,-,現況渡し,34.6993234,137.7773217
82,売地,浜松市中央区花川町,1340.0,1340.0,バス停,所有権,70,無指定,17.9,200,251.37,75,2025/4/10,2025/4/27,-,-,更地渡し,34.777557,137.6885944
344,売地,浜松市中央区笠井上町584番142号地,1380.0,1350.0,遠州鉄道,所有権,60,１種住居,25.0,200,185.61,55,2024/8/1,2024/9/8,-,-,更地渡し,34.77352279999999,137.7981643
347,売地,浜松市中央区笠井新田町,980.0,960.0,遠州鉄道/バス停,所有権,60,無指定,9.6,200,342.0,102,2024/6/6,2024/8/8,-,-,現況渡し,34.7626843,137.7871894
348,売地,浜松市中央区笠井新田町1307-1,1490.0,1490.0,バス停/バス停,所有権,60,無指定,22.7,200,220.0,66,2024/2/3,2024/3/10,-,-,相談,34.7566222,137.7865035
351,売地,浜松市中央区笠井新田町1533,626.5,626.5,遠州鉄道,所有権,60,-,29.6,200,71.18,21,2024/11/20,2024/12/12,-,-,建築条件付,34.7599344,137.7843481
346,売地,浜松市中央区笠井新田町757-1,750.0,720.0,遠州鉄道,所有権,60,無指定,9.3,200,271.23,81,2024/10/1,2024/10/20,-,-,現況渡し,34.7662205,137.7904683
350,売地,浜松市中央区笠井新田町759-4、758,1795.0,1795.0,遠州鉄道,所有権,60,無指定,25.4,200,237.43,71,2024/11/1,2024/11/30,-,-,現況渡し,34.7664672,137.7901766
345,売地,浜松市中央区笠井新田町799‐1他2筆笠井新田町B,469.0,469.0,遠州鉄道,所有権,60,無指定,5.3,200,295.77,88,2023/12/6,2024/1/8,-,-,更地渡し,34.765052,137.7896057
349,売地,浜松市中央区笠井新田町字川原９５３－１外,1680.0,0.0,バス停,所有権,60,無指定,16.3,200,347.12,103,2024/2/26,2024/3/14,-,-,現況渡し,34.7626843,137.7871894
355,売地,浜松市中央区笠井町1322,48.0,48.0,バス停,所有権,70,１種住居,1.0,200,165.0,49,2025/4/18,2025/4/21,-,-,更地渡し,34.7669399,137.7926539
354,売地,浜松市中央区笠井町313,980.0,980.0,バス停,所有権,60,１種住居,13.7,200,239.82,71,2025/4/7,2025/4/17,-,-,現況渡し,34.766874,137.7984402
353,売地,浜松市中央区笠井町363番7,747.0,747.0,遠州鉄道,所有権,60,１種住居,24.9,200,100.8,30,2023/12/1,-,-,-,現況渡し,34.7697907,137.7977613
357,売地,浜松市中央区笠井町62-1,5200.0,5200.0,バス停,所有権,60,１種住居,22.3,200,783.18,233,2024/4/23,2024/5/30,-,-,現況渡し,34.7685359,137.8004673
356,売地,浜松市中央区笠井町62番１,5200.0,5100.0,バス停/バス停,所有権,60,１種住居,22.3,200,783.18,233,2024/4/22,2024/6/20,-,-,更地渡し,34.7685359,137.8004673
352,売地,浜松市中央区笠井町63-1,290.0,290.0,遠州鉄道,所有権,60,１種住居,10.9,172,89.0,27,2023/3/29,2023/4/27,-,-,現況渡し,34.7681043,137.7945914
386,売地,浜松市中央区鴨江２丁目54-10,2100.0,2050.0,遠州鉄道,所有権,60,-,37.1,200,190.03,57,2024/12/10,2025/2/14,-,-,更地渡し,34.7047807,137.70723
385,売地,浜松市中央区鴨江２丁目9-17,1560.0,1560.0,東海道本線/バス停/バス停,所有権,70,-,39.0,200,134.17,40,2024/5/14,2024/6/4,-,-,現況渡し,34.7046194,137.7150322
387,売地,浜松市中央区鴨江３丁目463-27他,580.0,60.0,遠州鉄道/バス停,所有権,60,-,6.7,200,290.89,87,2024/10/25,-,-,-,更地渡し,34.7074281,137.7107623
388,売地,浜松市中央区鴨江４丁目34-37区画3,980.0,950.0,東海道本線/バス停,所有権,60,-,19.9,200,165.3,49,2023/10/30,2024/2/3,-,-,現況渡し,34.7079043,137.718224
389,売地,浜松市中央区舘山寺町244-9,669.0,669.0,バス停/バス停,所有権,-,無指定,12.2,-,184.05,55,2024/9/19,2024/10/5,-,-,相談,34.7629049,137.6276574
390,売地,浜松市中央区舘山寺町244-9,669.0,640.0,バス停/バス停,所有権,-,無指定,12.2,-,184.05,55,2023/8/4,2023/9/24,-,-,相談,34.7629049,137.6276574
391,売地,浜松市中央区舘山寺町2669-1、2,5.0,5.0,バス停,所有権,60,１種住居,0.0,200,357.73,107,2024/11/13,2024/12/2,-,-,現況渡し,34.7575562,137.6124553
228,売地,浜松市中央区丸塚町,1980.0,1980.0,バス停,所有権,60,１種住居,33.5,200,198.36,59,2024/3/18,2024/3/27,-,-,更地渡し,34.7284005,137.7600575
363,売地,浜松市中央区金折町,950.0,750.0,バス停,所有権,60,無指定,19.3,200,165.0,49,2024/7/6,2024/7/26,-,-,更地渡し,34.6923125,137.7822553
362,売地,浜松市中央区金折町,830.0,800.0,バス停,所有権,60,無指定,15.0,200,186.12,55,2023/4/17,2023/5/20,-,-,相談,34.6923125,137.7822553
361,売地,浜松市中央区金折町353-1,656.0,0.0,バス停,所有権,60,無指定,7.1,200,310.0,92,2023/7/9,2023/7/12,-,-,現況渡し,34.6913989,137.7794868
360,売地,浜松市中央区金折町677②区画,506.0,0.0,バス停,所有権,60,無指定,7.1,200,239.0,71,2024/5/17,2024/6/29,-,-,現況渡し,34.6923125,137.7822553
256,売地,浜松市中央区元浜町３３－３４,1700.0,1700.0,遠州鉄道/バス停,所有権,80,商業地域,52.5,500,108.67,32,2023/10/5,2023/12/28,-,-,相談,34.713565,137.7319904
83,売地,浜松市中央区原島町320,1750.0,1750.0,東海道本線,所有権,60,１種住居,35.8,200,164.0,49,2023/8/4,2023/8/28,-,-,現況渡し,34.7315815,137.7718905
113,売地,浜松市中央区湖東町1484-171,1450.0,1450.0,バス停,所有権,60,無指定,18.3,200,266.42,79,2024/3/3,2024/3/17,-,-,現況渡し,34.7600053,137.667444
112,売地,浜松市中央区湖東町2913,960.0,960.0,遠州鉄道/バス停,所有権,60,-,8.1,200,396.85,118,2024/3/25,2024/4/22,-,-,更地渡し,34.7594176,137.6698123
111,売地,浜松市中央区湖東町2913Ｂ,940.0,940.0,ＪＲ東海道新幹線/バス停,所有権,60,-,6.6,200,474.76,141,2024/5/13,2024/6/25,-,-,更地渡し,34.7621033,137.6826919
109,売地,浜松市中央区湖東町3433番2外1筆,679.0,679.0,バス停,所有権,60,無指定,5.1,200,449.0,134,2023/7/19,2023/9/27,-,-,現況渡し,34.7555541,137.6804035
110,売地,浜松市中央区湖東町5746-5,67.0,750.0,バス停,所有権,60,-,0.6,200,406.0,121,2024/2/5,2024/2/26,-,-,現況渡し,34.7613219,137.6828154
101,売地,浜松市中央区御給町,1480.0,1480.0,バス停,所有権,60,無指定,16.3,200,304.0,91,2024/3/1,2024/3/31,-,-,相談,34.675999,137.7693054
253,売地,浜松市中央区向宿２丁目15番13号,1580.0,1580.0,東海道本線,所有権,60,１種住居,30.1,200,176.3,53,2023/4/1,2023/4/22,-,-,現況渡し,34.705594,137.7514468
254,売地,浜松市中央区向宿３丁目719-3,1830.0,4.0,ＪＲ東海道新幹線,所有権,70,１種住居,37.0,200,166.1,49,2023/11/21,2023/12/25,-,-,更地渡し,34.7020853,137.7523521
114,売地,浜松市中央区幸２丁目39-4,3153.0,3153.0,東海道本線/バス停,所有権,40,１種低層,30.8,60,343.98,102,2023/7/22,2023/7/30,-,-,更地渡し,34.7375765,137.7305326
115,売地,浜松市中央区幸３丁目18-3,3300.0,3300.0,遠州鉄道/バス停,所有権,60,-,31.9,200,347.6,104,2024/3/9,2024/3/15,-,-,更地渡し,34.7416491,137.7338825
122,売地,浜松市中央区幸４丁目33-40,4950.0,0.0,遠州鉄道/バス停,所有権,30,１種低層,33.5,60,495.88,148,2024/2/28,2024/4/1,-,-,更地渡し,34.7450588,137.733089
121,売地,浜松市中央区幸４丁目518-70,2800.0,64.0,遠州鉄道/バス停,所有権,30,１種低層,40.3,60,233.55,70,2024/11/20,2024/12/24,-,-,現況渡し,34.7445568,137.7298587
120,売地,浜松市中央区幸４丁目９－５ＮＯ．１,2058.0,7.0,バス停,所有権,60,-,42.7,150,161.74,48,2024/7/19,2024/8/19,-,-,更地渡し,34.7456833,137.7281644
119,売地,浜松市中央区幸４丁目９－５ＮＯ．１１,1996.0,78.0,バス停,所有権,60,-,43.5,150,154.24,46,2024/7/19,2024/8/19,-,-,更地渡し,34.7456833,137.7281644
117,売地,浜松市中央区幸４丁目９－５ＮＯ．２,1954.0,38.0,バス停,所有権,60,-,42.0,150,156.11,46,2024/7/19,2024/8/19,-,-,更地渡し,34.7456833,137.7281644
