No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件,latitude,longitude
116,売地,浜松市中央区幸４丁目９－５ＮＯ．３,1952.0,51.0,バス停/バス停,所有権,60,-,42.2,150,155.47,46,2024/7/19,2024/8/19,-,-,更地渡し,34.7456833,137.7281644
118,売地,浜松市中央区幸４丁目９－５ＮＯ．９,1994.0,77.0,バス停,所有権,60,-,43.4,150,154.14,46,2024/7/19,2024/8/19,-,-,更地渡し,34.7456833,137.7281644
90,売地,浜松市中央区広沢１丁目252-79,2600.0,2600.0,東海道本線/バス停,所有権,60,-,38.6,160,226.21,67,2024/7/5,2024/7/22,-,-,現況渡し,34.7165678,137.7175376
92,売地,浜松市中央区広沢２丁目４０－２４,5800.0,5800.0,東海道本線/バス停,所有権,60,-,44.1,160,441.17,131,2024/8/22,2024/9/10,-,-,更地渡し,34.7183588,137.7124368
91,売地,浜松市中央区広沢２丁目7-28,1650.0,1600.0,遠州鉄道/バス停,所有権,60,-,40.0,200,138.51,41,2023/7/4,2023/8/27,-,-,更地渡し,34.7145828,137.7165905
93,売地,浜松市中央区広沢３丁目1-18,2180.0,2180.0,東海道本線/バス停,所有権,60,-,38.5,160,189.9,57,2024/8/5,2024/8/26,-,-,更地渡し,34.7119585,137.7206492
17,売地,浜松市中央区恒武町518,650.0,500.0,遠州鉄道,所有権,-,-,19.2,-,113.69,34,2023/3/28,2023/5/17,-,-,現況渡し,34.7662272,137.7989387
199,売地,浜松市中央区高丘東２丁目104,1985.0,1985.0,-,所有権,60,工業地域,34.0,200,196.0,58,2024/2/29,2024/3/17,-,-,建築条件付,34.7562335,137.7132259
1,売地,浜松市中央区高丘東３丁目109番1高丘東1号地,1498.0,1498.0,バス停,所有権,60,工業地域,40.0,200,125.64,37,2024/10/7,2024/11/18,-,-,現況渡し,34.7606061,137.7181536
2,売地,浜松市中央区高丘東３丁目１３９－７,2015.0,2015.0,バス停,所有権,60,１種住居,30.5,200,222.07,66,2023/11/13,2023/12/5,-,-,更地渡し,34.7606061,137.7181536
200,売地,浜松市中央区高丘東３丁目A区画,1480.0,1480.0,バス停,所有権,60,工業地域,19.0,200,261.55,78,2023/6/9,2023/7/14,-,-,現況渡し,34.7606061,137.7181536
4,売地,浜松市中央区高丘東４丁目101-14,3020.0,3020.0,東海道本線/バス停,所有権,60,工業地域,35.5,200,285.35,85,2023/7/18,2023/8/4,-,-,更地渡し,34.7589002,137.7101464
3,売地,浜松市中央区高丘東４丁目101-27,3020.0,3020.0,東海道本線/バス停,所有権,60,工業地域,35.5,200,285.32,85,2023/10/30,2023/12/11,-,-,更地渡し,34.7589002,137.7101464
5,売地,浜松市中央区高丘東４丁目１０１－２９他,3538.0,3250.0,バス停,所有権,70,工業地域,41.6,200,285.34,85,2024/10/22,2024/12/12,-,-,現況渡し,34.7589002,137.7101464
197,売地,浜松市中央区高丘北２丁目102-14No.2,1882.0,1882.0,バス停,所有権,60,１種住居,32.5,200,194.41,58,2024/11/22,2024/12/14,-,-,建築条件付,34.7634017,137.703372
198,売地,浜松市中央区高丘北３丁目11-24,1799.0,1799.0,バス停,所有権,60,１種住居,36.6,200,164.98,49,2023/4/6,2023/4/29,-,-,相談,34.7636669,137.6989671
13,売地,浜松市中央区高町,2990.0,2990.0,バス停,所有権,60,１種住居,45.2,200,222.08,66,2024/3/15,2024/4/6,-,-,更地渡し,34.7100263,137.7215417
8,売地,浜松市中央区高塚町,1520.0,1300.0,バス停/バス停,所有権,60,２種住居,24.4,200,209.24,62,2024/2/20,2024/3/9,-,-,相談,34.6896781,137.6824383
9,売地,浜松市中央区高塚町,1600.0,1600.0,東海道本線,所有権,60,１種住居,20.8,200,257.68,77,2024/10/8,2024/11/13,-,-,更地渡し,34.6896781,137.6824383
7,売地,浜松市中央区高塚町,1400.0,1400.0,東海道本線/バス停,所有権,60,無指定,13.7,200,344.0,102,2024/9/29,2024/10/7,-,-,更地渡し,34.6896781,137.6824383
10,売地,浜松市中央区高塚町１７８８－１２７,1680.0,1680.0,東海道本線,所有権,60,１種住居,28.0,200,201.2,60,2023/4/7,2023/5/8,-,-,更地渡し,34.6923133,137.6750712
6,売地,浜松市中央区高塚町2257番1,1101.0,1101.0,東海道本線,所有権,60,工業地域,20.3,200,182.0,54,2023/3/4,2023/5/13,-,-,現況渡し,34.6896781,137.6824383
11,売地,浜松市中央区高林１丁目31-1,540.0,420.0,東海道本線/バス停,所有権,60,準住居,20.4,200,89.0,27,2023/4/19,2023/5/28,-,-,現況渡し,34.7257485,137.731091
12,売地,浜松市中央区高林３丁目625-9,730.0,730.0,ＪＲ東海道新幹線/バス停,所有権,60,１種住居,30.8,200,79.62,24,2024/6/28,2024/7/11,-,-,更地渡し,34.7279993,137.7357122
126,売地,浜松市中央区佐藤１丁目,980.0,900.0,バス停,所有権,80,近隣商業,33.4,200,98.39,29,2024/1/30,2024/2/22,-,-,更地渡し,34.7133159,137.7446478
127,売地,浜松市中央区佐藤１丁目26番41号,1910.0,1910.0,東海道本線,所有権,60,２種住居,46.3,200,138.38,41,2023/3/15,2023/5/19,-,-,更地渡し,34.7129887,137.7443511
136,売地,浜松市中央区佐浜町121-1,680.0,680.0,東海道本線/バス停,所有権,70,-,7.3,200,311.67,93,2023/7/19,2023/8/15,-,-,相談,34.7468483,137.640596
128,売地,浜松市中央区佐鳴台１丁目109-3,1980.0,1980.0,バス停,所有権,60,-,41.6,200,160.0,48,2023/9/28,2023/10/26,-,-,現況渡し,34.7040632,137.7015245
129,売地,浜松市中央区佐鳴台１丁目856,4665.0,4665.0,東海道本線/バス停,所有権,60,２種住居,35.5,200,440.64,131,2024/7/5,2024/9/2,-,-,更地渡し,34.7040632,137.7015245
131,売地,浜松市中央区佐鳴台２丁目116-10,3100.0,3100.0,東海道本線,所有権,60,-,46.3,200,225.0,67,2023/6/22,2023/7/10,-,-,現況渡し,34.7031905,137.6941355
132,売地,浜松市中央区佐鳴台２丁目31-16,12000.0,12000.0,東海道本線/バス停,所有権,60,１種住居,51.7,200,780.02,232,2023/6/6,2023/8/8,-,-,現況渡し,34.7042667,137.692504
130,売地,浜松市中央区佐鳴台２丁目5-29,2050.0,1775.0,東海道本線,所有権,70,-,45.8,200,150.19,45,2023/8/4,2023/8/28,-,-,更地渡し,34.7026164,137.6956412
134,売地,浜松市中央区佐鳴台５丁目122-16,3000.0,3000.0,バス停,所有権,40,-,20.8,200,484.64,144,2024/6/11,2024/6/29,-,-,更地渡し,34.7127243,137.6978299
135,売地,浜松市中央区佐鳴台５丁目122-17・122-18,6000.0,6000.0,バス停,所有権,40,-,30.2,200,666.37,198,2024/4/2,2024/4/24,-,-,更地渡し,34.7127243,137.6978299
133,売地,浜松市中央区佐鳴台５丁目B区画,2500.0,2500.0,バス停,所有権,40,-,37.7,200,222.63,66,2023/5/18,2023/8/8,-,-,更地渡し,34.7127243,137.6978299
187,売地,浜松市中央区砂山町,1880.0,1880.0,バス停,所有権,80,商業地域,55.3,500,114.22,34,2024/9/1,2024/9/20,-,-,相談,34.7028205,137.7360203
246,売地,浜松市中央区三組町,2100.0,2100.0,遠州鉄道,所有権,60,２種住居,53.1,160,132.83,40,2024/8/30,2024/9/4,-,-,現況渡し,34.7089332,137.7203096
252,売地,浜松市中央区三島町1106,11500.0,11500.0,ＪＲ東海道新幹線/バス停,所有権,60,１種住居,59.2,200,652.0,194,2023/12/19,2023/12/22,-,-,更地渡し,34.6896516,137.7458858
251,売地,浜松市中央区三島町331-1,1650.0,1650.0,ＪＲ東海道新幹線,所有権,60,１種住居,27.7,164,200.0,60,2023/7/20,2023/8/31,-,-,相談,34.689529,137.740938
247,売地,浜松市中央区三島町852番2、852番5,1050.0,1050.0,東海道本線/バス停,所有権,60,-,7.5,200,470.0,140,2023/4/12,2023/4/27,-,-,建築条件付,34.6879775,137.7452641
249,売地,浜松市中央区三島町字曲リ木808番2外,1450.0,1450.0,バス停,所有権,60,１種住居,29.6,200,164.6,49,2023/6/26,2023/8/31,-,-,更地渡し,34.6879775,137.7452641
250,売地,浜松市中央区三島町字曲リ木808番2外,1480.0,1480.0,バス停,所有権,60,１種住居,27.6,200,180.03,54,2023/6/26,2023/9/4,-,-,更地渡し,34.6879775,137.7452641
248,売地,浜松市中央区三島町字曲リ木808番2外,1380.0,1380.0,バス停/バス停,所有権,60,１種住居,21.4,200,216.71,65,2023/6/26,2023/9/4,-,-,更地渡し,34.6879775,137.7452641
237,売地,浜松市中央区三方原町,71.0,71.0,遠州鉄道/バス停,所有権,60,-,1.2,200,200.05,60,2024/8/18,2024/8/20,-,-,建築条件付,34.785159,137.7100922
239,売地,浜松市中央区三方原町,65.0,1330.0,遠州鉄道/バス停,所有権,60,-,1.1,200,200.19,60,2023/11/12,2023/11/25,-,-,建築条件付,34.785159,137.7100922
234,売地,浜松市中央区三方原町1482番1の一部,9.0,9.0,バス停,所有権,60,無指定,0.1,200,257.19,77,2023/12/20,-,-,-,現況渡し,34.7815328,137.7028506
236,売地,浜松市中央区三方原町1512番7、1512番8(C号地),780.0,780.0,バス停,所有権,60,-,7.3,200,359.13,107,2023/11/11,2023/12/5,-,-,現況渡し,34.785159,137.7100922
244,売地,浜松市中央区三方原町１６－４,3200.0,3200.0,バス停,所有権,60,-,27.2,200,395.0,118,2025/1/8,2025/1/19,-,-,更地渡し,34.7699761,137.7135473
233,売地,浜松市中央区三方原町1801－1の一部（Ｂ号地）,760.0,760.0,バス停,所有権,60,-,10.2,200,249.35,74,2024/1/16,2024/3/24,-,-,現況渡し,34.7864076,137.7051488
231,売地,浜松市中央区三方原町1808-1の一部（Ａ号地）,730.0,730.0,バス停,所有権,60,-,9.8,200,249.2,74,2024/8/27,2024/10/30,-,-,現況渡し,34.785159,137.7100922
232,売地,浜松市中央区三方原町１８０８－１の一部（D号地）,760.0,760.0,バス停/バス停,所有権,60,-,10.2,200,250.17,75,2024/6/22,2024/9/17,-,-,現況渡し,34.785159,137.7100922
230,売地,浜松市中央区三方原町１８２１番１４,700.0,700.0,バス停,所有権,60,-,7.2,200,324.23,97,2024/11/5,2024/11/8,-,-,現況渡し,34.7847029,137.7042308
229,売地,浜松市中央区三方原町１８２１番８,650.0,650.0,バス停,所有権,60,-,10.5,200,207.54,62,2024/9/17,2024/11/5,-,-,現況渡し,34.7847029,137.7042308
241,売地,浜松市中央区三方原町1843-1,1920.0,1840.0,東海道本線/バス停,所有権,60,-,24.4,200,264.47,79,2023/6/18,2023/7/24,-,-,現況渡し,34.7833117,137.7025887
243,売地,浜松市中央区三方原町2056番地4,2150.0,1800.0,-,所有権,60,無指定,26.8,200,269.76,80,2024/8/21,2024/10/12,-,-,更地渡し,34.7920369,137.7122157
245,売地,浜松市中央区三方原町2229-1,3500.0,3500.0,東海道本線/バス停,所有権,60,-,16.2,200,723.99,216,2023/4/6,2023/6/23,-,-,更地渡し,34.7862856,137.7005912
235,売地,浜松市中央区三方原町348-1他,780.0,780.0,ＪＲ東海道新幹線/バス停,所有権,60,無指定,10.9,200,239.35,71,2024/3/20,2024/4/6,-,-,現況渡し,34.7763468,137.7148223
238,売地,浜松市中央区三方原町427-1,1350.0,1350.0,バス停,所有権,60,無指定,9.6,200,472.0,141,2024/7/17,2024/7/22,-,-,現況渡し,34.7775489,137.7236809
240,売地,浜松市中央区三方原町551-1外1筆の一部,1790.0,38.0,バス停/バス停,所有権,60,無指定,22.7,200,264.47,79,2024/10/7,2024/10/8,-,-,現況渡し,34.77684989999999,137.7107132
242,売地,浜松市中央区三方原町551-1外2筆の一部,1990.0,98.0,バス停,所有権,60,無指定,22.3,200,299.4,89,2024/7/19,2024/7/30,-,-,現況渡し,34.77684989999999,137.7107132
139,売地,浜松市中央区三和町,1310.0,1250.0,バス停,所有権,60,１種住居,26.2,200,167.61,50,2024/12/13,2025/2/11,-,-,相談,34.7065131,137.7674557
140,売地,浜松市中央区三和町,1490.0,3.0,バス停/バス停,所有権,60,１種住居,22.4,200,223.67,67,2025/3/4,2025/4/14,-,-,更地渡し,34.7065131,137.7674557
142,売地,浜松市中央区三和町南,1890.0,1800.0,バス停,所有権,60,１種住居,28.4,200,223.67,67,2024/2/27,2024/3/19,-,-,更地渡し,34.7065131,137.7674557
141,売地,浜松市中央区三和町北,1490.0,1490.0,バス停,所有権,60,１種住居,22.4,200,223.67,67,2025/2/28,2025/4/6,-,-,更地渡し,34.7065131,137.7674557
137,売地,浜松市中央区参野町,730.0,580.0,バス停,所有権,60,１種住居,22.3,200,109.99,33,2024/1/30,2024/2/22,-,-,相談,34.6923863,137.7569752
138,売地,浜松市中央区参野町,880.0,780.0,バス停,所有権,60,１種住居,21.1,200,139.85,42,2024/12/6,2025/2/2,-,-,現況渡し,34.6923863,137.7569752
265,売地,浜松市中央区山手町,3900.0,3900.0,バス停,所有権,60,-,66.0,200,198.34,59,2025/3/7,2025/3/28,-,-,現況渡し,34.7079112,137.7052194
166,売地,浜松市中央区四本松町,1800.0,1750.0,バス停,所有権,60,無指定,17.1,200,354.0,105,2024/2/18,2024/4/6,-,-,現況渡し,34.6837506,137.7674557
164,売地,浜松市中央区四本松町,850.0,720.0,バス停/バス停,所有権,60,無指定,15.3,200,187.0,56,2024/8/9,2024/9/13,-,-,更地渡し,34.6837506,137.7674557
163,売地,浜松市中央区四本松町,760.0,600.0,バス停,所有権,60,無指定,9.1,200,281.0,84,2024/11/18,2025/1/27,-,-,更地渡し,34.6837506,137.7674557
165,売地,浜松市中央区四本松町242-1②,1380.0,1380.0,バス停,所有権,60,無指定,17.2,200,270.0,80,2024/7/8,2024/7/23,-,-,更地渡し,34.6835689,137.7678236
309,売地,浜松市中央区市野町1599,1590.0,5000.0,遠州鉄道,所有権,60,１種住居,33.4,200,159.68,48,2024/6/21,2024/7/31,-,-,建築条件付,34.7437176,137.7733392
307,売地,浜松市中央区市野町21番1,18.0,18.0,遠州鉄道/バス停,所有権,60,無指定,0.1,200,419.0,125,2025/1/14,2025/3/31,-,-,現況渡し,34.708386,137.729413
308,売地,浜松市中央区市野町406-1他,1340.0,1340.0,ＪＲ東海道新幹線/バス停,所有権,60,１種住居,27.4,200,164.01,49,2024/10/7,2024/11/13,-,-,建築条件付,34.751884,137.7677028
306,売地,浜松市中央区市野町85番地の一部,550.0,550.0,バス停,所有権,60,無指定,6.9,200,268.59,80,2023/4/23,2023/7/16,-,-,更地渡し,34.7456318,137.7711552
147,売地,浜松市中央区志都呂１丁目1031-3,2500.0,2500.0,東海道本線/バス停,所有権,60,１種住居,28.5,200,294.14,88,2023/7/8,2023/7/11,-,-,更地渡し,34.6978142,137.661513
152,売地,浜松市中央区志都呂町1143②,1620.0,1620.0,バス停,所有権,60,-,34.5,200,157.61,47,2024/1/20,2024/3/10,-,-,現況渡し,34.7037596,137.6541296
148,売地,浜松市中央区志都呂町1525-7A号地,1280.0,1280.0,バス停/バス停,所有権,60,-,31.5,200,136.24,41,2024/8/1,2024/9/20,-,-,現況渡し,34.7037596,137.6541296
153,売地,浜松市中央区志都呂町300-303,2670.0,2670.0,ＪＲ東海道新幹線/バス停,所有権,60,-,30.5,200,294.25,88,2025/1/17,2025/2/23,-,-,更地渡し,34.7027567,137.6596087
149,売地,浜松市中央区志都呂町字西脇1528-3Ｂ区画,7.0,7.0,バス停,所有権,60,-,0.2,200,132.03,39,2023/2/16,2023/4/27,-,-,現況渡し,34.7037596,137.6541296
150,売地,浜松市中央区志都呂町字西脇1528-3Ｄ区画/41.21坪,1339.0,1339.0,バス停,所有権,60,-,33.0,200,136.24,41,2023/2/14,2023/4/14,-,-,建築条件付,34.7037596,137.6541296
151,売地,浜松市中央区志都呂町字西脇1528-3Ｅ区画/45.96坪,8.0,8.0,バス停,所有権,60,-,0.2,200,151.96,45,2023/2/14,2023/4/14,-,-,現況渡し,34.7037596,137.6541296
123,売地,浜松市中央区篠ケ瀬町138-9,1640.0,1640.0,東海道本線/バス停,所有権,60,１種住居,30.2,200,182.22,54,2024/6/9,2024/6/12,-,-,更地渡し,34.73303569999999,137.7733098
125,売地,浜松市中央区篠ケ瀬町A,2180.0,2170.0,バス停,所有権,60,１種住居,33.8,200,216.41,64,2024/12/10,2025/1/19,-,-,更地渡し,34.7278635,137.774855
124,売地,浜松市中央区篠ケ瀬町Ｂ,1770.0,1750.0,バス停/バス停,所有権,60,１種住居,30.7,200,193.63,58,2025/2/15,2025/4/20,-,-,現況渡し,34.7278635,137.774855
154,売地,浜松市中央区篠原町,84.0,84.0,バス停,所有権,60,１種住居,2.7,200,105.78,32,2023/10/21,2023/10/29,-,-,更地渡し,34.6858129,137.6708537
160,売地,浜松市中央区篠原町21383-1,1075.0,1075.0,東海道本線,所有権,60,工業地域,14.5,200,249.0,74,2024/10/8,2024/11/13,-,-,更地渡し,34.6830655,137.6694583
162,売地,浜松市中央区篠原町22557,1350.0,1350.0,バス停,所有権,60,工業地域,17.8,200,254.0,76,2023/3/11,2023/5/27,-,-,更地渡し,34.6832031,137.6741183
158,売地,浜松市中央区篠原町3898-1(A区画),980.0,980.0,東海道本線/バス停,所有権,60,１種住居,17.3,200,189.9,57,2024/1/6,2024/2/25,-,-,現況渡し,34.6872055,137.6665059
157,売地,浜松市中央区篠原町3898-3(B区画),980.0,980.0,東海道本線/バス停,所有権,60,１種住居,18.9,200,173.86,52,2024/4/3,2024/6/16,-,-,現況渡し,34.6872055,137.6665059
159,売地,浜松市中央区篠原町3898-3(B区画),980.0,980.0,東海道本線/バス停,所有権,60,１種住居,18.9,200,173.86,52,2024/1/6,2024/2/25,-,-,現況渡し,34.6872055,137.6665059
161,売地,浜松市中央区篠原町9308番3,2.0,2.0,東海道本線/バス停,所有権,70,１種住居,0.0,200,208.64,62,2023/2/24,2023/4/29,-,-,相談,34.68858549999999,137.6568886
155,売地,浜松市中央区篠原町Ａ区画,48.0,48.0,バス停,所有権,60,１種住居,0.9,200,172.0,51,2024/7/8,2024/7/27,-,-,現況渡し,34.6858129,137.6708537
156,売地,浜松市中央区篠原町Ｂ区画,48.0,48.0,バス停/バス停,所有権,60,１種住居,0.9,200,172.0,51,2024/7/8,2024/7/27,-,-,現況渡し,34.6858129,137.6708537
300,売地,浜松市中央区若林町,1520.0,1520.0,バス停,所有権,60,１種住居,30.9,200,165.29,49,2023/7/8,2023/8/7,-,-,更地渡し,34.6906329,137.703372
299,売地,浜松市中央区若林町B区画,1420.0,1420.0,バス停,所有権,60,工業地域,30.9,200,154.07,46,2025/3/20,2025/4/21,-,-,現況渡し,34.6906329,137.703372
188,売地,浜松市中央区住吉１丁目35-6,4.0,330.0,バス停/バス停,所有権,60,２種中高,0.2,200,54.81,16,2025/2/14,2025/4/4,-,-,現況渡し,34.7286243,137.7220408
189,売地,浜松市中央区住吉４丁目16-19,2000.0,2000.0,遠州鉄道,所有権,60,２種住居,37.9,200,176.99,53,2023/8/17,2023/8/22,-,-,更地渡し,34.7324719,137.7271969
146,売地,浜松市中央区十軒町613-8,2476.0,2350.0,遠州鉄道,所有権,60,１種住居,33.5,200,248.0,74,2025/4/7,2025/4/15,-,-,現況渡し,34.7321743,137.7454364
359,売地,浜松市中央区春日町１－１,1200.0,1053.0,バス停,所有権,60,１種住居,26.6,200,151.21,45,2023/12/7,2024/1/21,-,-,相談,34.6902945,137.7255525
358,売地,浜松市中央区春日町1-1,5.0,1053.0,ＪＲ東海道新幹線,所有権,60,１種住居,0.1,200,151.21,45,2023/11/21,2024/1/21,-,-,更地渡し,34.6902945,137.7255525
79,売地,浜松市中央区初生町－,9.0,0.0,バス停,所有権,60,無指定,0.2,200,168.7,50,2024/12/4,2024/12/23,-,-,更地渡し,34.7676897,137.7267782
78,売地,浜松市中央区初生町1038-4,1385.0,1385.0,ＪＲ東海道新幹線,所有権,60,無指定,22.3,200,209.0,62,2024/8/19,2024/10/11,-,-,建築条件付,34.7690679,137.729536
80,売地,浜松市中央区初生町１７１ー３３(Ｈ号地),1980.0,1980.0,バス停/バス停,所有権,60,-,23.2,200,286.54,85,2023/12/26,2024/2/17,-,-,更地渡し,34.7640234,137.7342295
81,売地,浜松市中央区初生町959-8,2050.0,2000.0,バス停,所有権,70,無指定,32.5,200,211.68,63,2025/2/3,2025/3/17,-,-,更地渡し,34.7687359,137.7233381
173,売地,浜松市中央区将監町27-1外2筆,2299.0,28.0,バス停,所有権,60,２種住居,39.9,200,193.53,58,2024/8/19,2024/9/5,-,-,現況渡し,34.714881,137.7578455
107,売地,浜松市中央区小沢渡町,1300.0,1300.0,東海道本線/バス停,所有権,60,無指定,21.2,200,206.18,61,2024/4/9,2024/4/23,-,-,更地渡し,34.6789181,137.6812072
103,売地,浜松市中央区小沢渡町,1180.0,1180.0,東海道本線/バス停,所有権,60,無指定,18.3,200,216.11,64,2023/4/11,2023/4/25,-,-,現況渡し,34.6789181,137.6812072
104,売地,浜松市中央区小沢渡町,1180.0,1180.0,東海道本線/バス停,所有権,60,無指定,18.3,200,216.11,64,2023/4/11,2023/4/25,-,-,現況渡し,34.6789181,137.6812072
105,売地,浜松市中央区小沢渡町,1200.0,1200.0,東海道本線/バス停,所有権,60,無指定,17.0,200,236.91,71,2024/4/9,2024/4/23,-,-,更地渡し,34.6789181,137.6812072
108,売地,浜松市中央区小沢渡町1120,48.0,48.0,東海道本線/バス停/バス停,所有権,60,無指定,0.2,200,687.0,205,2024/6/22,2024/7/1,-,-,現況渡し,34.6789181,137.6812072
106,売地,浜松市中央区小沢渡町1240-11,1200.0,1200.0,東海道本線,所有権,60,-,11.1,200,362.0,108,2024/1/11,2024/3/29,-,-,更地渡し,34.6853729,137.6795506
102,売地,浜松市中央区小沢渡町1760の一部,65.0,65.0,東海道本線,所有権,60,-,0.5,200,413.0,123,2024/2/26,2024/3/14,-,-,現況渡し,34.6789181,137.6812072
395,売地,浜松市中央区小池町2408,750.0,750.0,遠州鉄道,所有権,60,-,9.5,200,265.75,79,2024/7/8,2024/7/29,-,-,相談,34.7484403,137.7563588
397,売地,浜松市中央区小池町574①,1850.0,1850.0,遠州鉄道,所有権,60,無指定,29.7,200,209.0,62,2024/7/15,2024/8/30,-,-,相談,34.7484403,137.7563588
396,売地,浜松市中央区小池町574②,1780.0,1780.0,遠州鉄道/バス停,所有権,60,無指定,28.6,200,209.0,62,2024/5/11,2024/6/3,-,-,相談,34.7484403,137.7563588
398,売地,浜松市中央区小池町574③,1890.0,1890.0,遠州鉄道,所有権,60,無指定,27.1,200,234.0,70,2024/3/29,2024/4/21,-,-,相談,34.7484403,137.7563588
400,売地,浜松市中央区小池町574④,2050.0,2050.0,遠州鉄道,所有権,60,無指定,20.9,200,330.0,98,2024/4/22,2024/6/9,-,-,相談,34.7484403,137.7563588
399,売地,浜松市中央区小池町975番5,2020.0,2020.0,遠州鉄道,所有権,70,無指定,32.5,200,208.76,62,2024/7/20,2024/8/19,-,-,現況渡し,34.745898,137.7625396
384,売地,浜松市中央区上西町,2880.0,2880.0,バス停,所有権,60,１種住居,30.8,200,314.04,94,2023/12/8,2023/12/10,-,-,更地渡し,34.7238499,137.7600575
383,売地,浜松市中央区上西町894-1,800.0,800.0,遠州鉄道/バス停,所有権,60,工業地域,24.0,200,111.83,33,2023/6/9,2023/6/19,-,-,現況渡し,34.7257382,137.7603043
382,売地,浜松市中央区上西町字西表１０８４－８,530.0,430.0,バス停,所有権,60,工業地域,25.4,200,70.16,21,2025/1/29,2025/4/7,-,-,更地渡し,34.7238499,137.7600575
369,売地,浜松市中央区上石田町2206-10、116,4.0,4.0,東海道本線,所有権,60,無指定,0.1,200,246.0,73,2024/11/15,2024/12/24,-,-,現況渡し,34.7519217,137.7859558
370,売地,浜松市中央区上石田町262-1,68.0,68.0,東海道本線/バス停/バス停,所有権,60,-,1.3,200,182.11,54,2024/5/14,2024/7/22,-,-,現況渡し,34.7519217,137.7859558
368,売地,浜松市中央区上石田町字河原２１７－１,28.0,0.0,バス停,所有権,60,無指定,0.4,200,209.75,62,2024/2/26,2024/3/14,-,-,現況渡し,34.7519217,137.7859558
364,売地,浜松市中央区上浅田１丁目506、502-2,2700.0,2700.0,東海道本線/バス停/バス停,所有権,60,１種住居,27.2,200,333.2,99,2024/2/4,2024/4/15,-,-,現況渡し,34.695738,137.7273943
367,売地,浜松市中央区上浅田２丁目,1790.0,1580.0,バス停,所有権,60,１種住居,32.1,200,187.47,56,2024/10/30,2024/12/20,-,-,現況渡し,34.6945111,137.7298587
366,売地,浜松市中央区上浅田２丁目,1580.0,1580.0,バス停,所有権,60,１種住居,28.3,200,187.47,56,2024/12/13,2024/12/14,-,-,現況渡し,34.6945111,137.7298587
365,売地,浜松市中央区上浅田２丁目490-1他,1419.0,1419.0,ＪＲ東海道新幹線,所有権,60,１種住居,33.5,200,142.15,42,2024/1/11,2024/3/9,-,-,建築条件付,34.6945111,137.7298587
372,売地,浜松市中央区上島１丁目,1680.0,1680.0,遠州鉄道/バス停/バス停,所有権,60,１種住居,38.8,200,145.53,43,2023/10/10,2023/12/15,-,-,現況渡し,34.7382114,137.7403339
373,売地,浜松市中央区上島１丁目8-21,2575.0,2575.0,バス停,所有権,60,１種住居,38.6,200,224.06,67,2023/5/29,2023/7/11,-,-,相談,34.73815580000001,137.7394576
375,売地,浜松市中央区上島３丁目15-15,3100.0,2800.0,遠州鉄道,所有権,60,１種住居,32.8,200,317.0,94,2024/5/13,2024/7/30,-,-,更地渡し,34.7385137,137.7482245
374,売地,浜松市中央区上島３丁目153-1,1680.0,1680.0,遠州鉄道,所有権,60,１種住居,20.6,200,273.43,81,2024/9/2,2024/10/15,-,-,建築条件付,34.739083,137.7477294
376,売地,浜松市中央区上島７丁目18-5,1980.0,1980.0,バス停,所有権,60,１種住居,33.5,160,198.69,59,2023/5/22,2023/7/23,-,-,現況渡し,34.7485714,137.7405381
